group,home_team,away_team,home_xg,away_xg,predicted_score,home_win_probability,draw_probability,away_win_probability
A,Mexico,Czechoslovakia,1.585835483411462,0.7885968520714504,1-0,0.5821089239308098,0.2756925091034521,0.14219856696573807
A,Mexico,South Africa,1.4844023792446885,0.43026068639951864,1-0,0.6334643016790624,0.28013376128827266,0.08640193703266498
A,Mexico,South Korea,1.1658866599477085,1.0116901913203495,1-1,0.38823471074088317,0.31300635245614217,0.29875893680297455
A,South Africa,Czechoslovakia,0.9717452938462737,1.3728094324590792,1-1,0.24807308813942366,0.2897685033229335,0.46215840853764273
A,South Africa,South Korea,0.9526593367073634,1.4235534791205637,1-1,0.23752349618849686,0.28700346032026997,0.4754730434912332
A,South Korea,Czechoslovakia,1.170933452190281,0.998834095307608,1-1,0.38823471074088317,0.31300635245614217,0.29875893680297455
B,Canada,Bosnia and Herzegovina,2.113079003083317,0.6271487208410115,2-0,0.7220334819953416,0.1884849366756638,0.08948158132899467
B,Canada,Qatar,2.136308650527556,0.48629130555792494,2-0,0.7616377557436375,0.17049839352438467,0.06786385073197779
B,Canada,Switzerland,0.7833986822856094,1.3712667440131938,0-1,0.22243043828958156,0.30622912103560634,0.47134044067481207
B,Qatar,Bosnia and Herzegovina,1.2300967418460973,1.2896873308879597,1-1,0.39921412020259944,0.28821643261307944,0.3125694471843211
B,Qatar,Switzerland,0.4082427444407095,1.7766534137390422,0-1,0.08995012366507575,0.2363193270361745,0.6737305492987498
B,Switzerland,Bosnia and Herzegovina,1.9506536525849791,0.7142337332331925,1-0,0.6872182967950645,0.2023417575588044,0.11043994564613105
C,Brazil,Haiti,2.388019348061718,0.827387065680575,2-0,0.7406253710323759,0.16758895555368955,0.09178567341393452
C,Brazil,Morocco,1.3665346710434505,1.0393359524163739,1-1,0.4451545841468725,0.30387736277525723,0.2509680530778703
C,Brazil,Scotland,1.505889546835604,0.5981779679632997,1-0,0.6005050861420655,0.27360528848253574,0.12588962537539874
C,Morocco,Haiti,2.3099247051094163,0.6661776329609321,2-0,0.7672884218831105,0.16178537990169717,0.07092619821519233
C,Morocco,Scotland,1.0236127049474006,0.6308120314995289,0-0,0.36369551073519846,0.4736499674690957,0.16265452179570594
C,Scotland,Haiti,0.9947855530774403,0.6903611799308258,0-0,0.3353141337144743,0.47185318560228795,0.19283268068323778
D,Australia,Turkey,0.6292013289595888,1.358207491597982,0-1,0.16485180109150946,0.3016000156625576,0.533548183245933
D,Paraguay,Australia,1.0623513926809245,1.3139769577645137,1-1,0.3003403816561862,0.2950030948931955,0.40465652345061826
D,Paraguay,Turkey,0.7976277378648507,1.074034049575083,0-0,0.2315781811400815,0.39494482144361465,0.37347699741630386
D,USA,Australia,1.3327895350088428,1.6070556290272155,1-1,0.3234525097437054,0.2603980162741737,0.4161494739821209
D,USA,Paraguay,1.4571986855670898,1.1622631597550817,1-1,0.4232326510177339,0.2781426433251094,0.2986247056571566
D,USA,Turkey,0.3900602851698974,1.4377210600391477,0-1,0.09455748031974104,0.29222543957140806,0.6132170801088509
E,Ecuador,Curacao,2.5438900672254814,0.5128628130809064,2-0,0.8427405467754897,0.10815668423894656,0.04910276898556376
E,Germany,Curacao,3.479593279486232,0.3821774795452767,3-0,0.9394582636075154,0.04942493124461205,0.011116805147872553
E,Germany,Ecuador,1.1640980702991106,1.1408908801892539,1-1,0.3906192438876008,0.3035407696421263,0.30583998647027283
E,Germany,Ivory Coast,1.8688056620242826,0.9308389069187418,1-0,0.6175355170864,0.24209402356165524,0.1403704593519448
E,Ivory Coast,Curacao,1.5646611445120706,0.7096735384553856,1-0,0.5971070106906694,0.2657979207588751,0.1370950685504555
E,Ivory Coast,Ecuador,0.5889304544779237,1.7321469867982566,0-1,0.14539960030872776,0.24143964619422284,0.6131607534970495
F,Japan,Sweden,1.1452820044150929,1.0334074456811022,1-1,0.3865164563071897,0.3138854879061664,0.2995980557866439
F,Japan,Tunisia,1.5944107503705387,0.41741658804064724,1-0,0.6799244267083475,0.2514655727524631,0.06861000053918949
F,Netherlands,Japan,1.28055495390121,0.8666718673965236,1-0,0.44677894048996264,0.31529364143075317,0.23792741807928414
F,Netherlands,Sweden,2.0070369489201703,0.65398853017993,2-0,0.7064267145800077,0.2045187608959936,0.08905452452399867
F,Netherlands,Tunisia,2.199419221615518,0.6712751208885525,2-0,0.7282485861090952,0.18149959495092546,0.09025181893997931
F,Sweden,Tunisia,1.340960748245525,1.1048613520659971,1-1,0.40685278390600915,0.29167125045998155,0.3014759656340093
G,Belgium,Egypt,1.825080340528923,1.004528416164354,1-1,0.5699555497248319,0.2401266137840861,0.1899178364910819
G,Belgium,Iran,1.3208879775281523,1.0250769649423848,1-1,0.43733218978189137,0.31078154593860563,0.25188626427950306
G,Belgium,New Zealand,2.19212963950203,0.7852622351133117,2-0,0.7185949568632625,0.1908165491174426,0.0905884940192949
G,Egypt,Iran,1.3016365166873605,1.2358316920171488,1-1,0.39921412020259944,0.28821643261307944,0.3125694471843211
G,Egypt,New Zealand,2.3608661253876773,1.12461005553637,2-1,0.6644980996504832,0.18977419686198696,0.1457277034875298
G,Iran,New Zealand,1.6091822279883294,0.9121943462226141,1-0,0.5377790706130463,0.27132572176568975,0.19089520762126394
H,Cape Verde,Saudi Arabia,0.9439619492739835,1.2854263043524286,1-1,0.26064928122996256,0.3154855860799566,0.4238651326900808
H,Cape Verde,Uruguay,0.6448942197956621,2.23461495799866,0-2,0.091036804824109,0.17450861004103171,0.7344545851348593
H,Saudi Arabia,Uruguay,0.8259034223375326,2.564856481052166,0-2,0.09044492410660109,0.15741091757604836,0.7521441583173506
H,Spain,Cape Verde,2.7126337288230826,0.7351058993586581,2-0,0.820378537255167,0.1089063259389655,0.07071513680586754
H,Spain,Saudi Arabia,2.990880327368072,0.3976843060238886,2-0,0.9061793865373748,0.06545222573751676,0.028368387725108406
H,Spain,Uruguay,1.7456190558430997,0.8295778276269279,1-0,0.6175355170864,0.24209402356165524,0.1403704593519448
I,France,Iraq,2.3390868749065508,0.7608509960642178,2-0,0.7419955123910307,0.1723181834680282,0.08568630414094111
I,France,Norway,1.249647759334039,0.7962172513726893,1-0,0.46233461868592335,0.3262713442247809,0.21139403708929583
I,France,Senegal,1.234257844360697,0.8229891969052268,1-0,0.4517140985203353,0.3187764017075155,0.2295094997721492
I,Norway,Iraq,1.3998147801768035,0.8920465090537755,1-1,0.47017493296680457,0.29957268442781504,0.23025238260538036
I,Senegal,Iraq,1.6726355553934904,0.9850936398031607,1-1,0.5473556668626934,0.2583497252245858,0.1942946079127208
I,Senegal,Norway,0.7888405352033995,1.6300413107084841,0-1,0.16812617507234298,0.2656857527305511,0.5661880721971059
J,Algeria,Austria,0.8728318015566893,1.6333140386335228,0-1,0.21622950039126027,0.25713576401207683,0.526634735596663
J,Algeria,Jordan,1.9623833188613435,0.8734580827163931,1-0,0.6263457268799484,0.2354684758221282,0.13818579729792344
J,Argentina,Algeria,2.1480261813607977,0.663172574898585,2-0,0.7230655867186829,0.18732492325411848,0.08960949002719865
J,Argentina,Austria,2.8692357148900554,0.6816120074488526,2-0,0.8427405467754897,0.10815668423894656,0.04910276898556376
J,Argentina,Jordan,2.4106295097928747,0.3463086989098497,2-0,0.859016893762808,0.11024557829822325,0.030737527938968758
J,Austria,Jordan,2.2993728503758217,0.8519683456443722,2-0,0.7248576462450943,0.18376436407579258,0.09137798967911308
K,DR Congo,Colombia,0.4983280128824137,1.662400288504466,0-1,0.14539960030872776,0.24143964619422284,0.6131607534970495
K,DR Congo,Uzbekistan,0.7453904167869665,1.469806481498264,0-1,0.17485962278642755,0.28412814135654835,0.5410122358570242
K,Portugal,Colombia,1.3042088454386755,1.006288583191096,1-1,0.43504647906451804,0.31438373677629644,0.2505697841591855
K,Portugal,DR Congo,2.429989358004294,1.1668203683897598,2-1,0.6814591319790567,0.17958507822631326,0.13895578979463005
K,Portugal,Uzbekistan,1.3535503323587925,0.584255174974658,1-0,0.5489474201550073,0.3082000049514594,0.1428525748935334
K,Uzbekistan,Colombia,0.7313890722699912,1.3246295290716628,0-1,0.2194031850531896,0.3156712646325416,0.4649255503142689
L,Croatia,Ghana,1.8859538862597494,0.8317901135356732,1-0,0.6263457268799484,0.2354684758221282,0.13818579729792344
L,Croatia,Panama,1.1026044369732384,0.9865092721950054,1-1,0.3745766151929534,0.33508018253531663,0.29034320227173
L,England,Croatia,1.5716078494933219,1.0168815937881952,1-1,0.4784530810500577,0.2838695039341176,0.2376774150158247
L,England,Ghana,3.209670597594496,0.6889402709433777,3-0,0.868412267450928,0.10098861453569016,0.030599118013381724
L,England,Panama,1.5241362487820118,0.726833876409276,1-0,0.576724271978448,0.282392533075993,0.140883194945559
L,Ghana,Panama,0.7043476567748225,1.5103940204961428,0-1,0.16677581850171877,0.2834785434975486,0.5497456380007326
