date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo_before,away_elo_before,elo_diff,home_form_10,away_form_10,form_diff,home_attack,home_defense,away_attack,away_defense,attack_diff,defense_diff,home_conf_strength,away_conf_strength,conf_strength_diff,home_host,away_host,host_diff,importance
1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,0,1500.0,1500.0,0.0,1.5,1.5,0.0,1.3,1.3,1.3,1.3,0.0,0.0,1.0,1.0,0.0,1,0,1,1
1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,0,1500.0,1500.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,1,1
1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,0,1488.3802039174946,1511.6197960825054,-23.23959216501089,0.4501660026875221,2.099667994624956,-1.6495019919374339,1.04995837495788,2.09991674991576,2.09991674991576,1.04995837495788,-1.04995837495788,-1.04995837495788,1.0,1.0,0.0,1,0,1,1
1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,0,1500.8459683969659,1499.1540316030341,1.6919367939317453,1.2561062660444577,1.4745862347778043,-0.21847996873334652,1.6960653752443144,1.3987807892885453,1.3987807892885453,1.6960653752443144,0.2972845859557691,0.2972845859557691,1.0,1.0,0.0,1,0,1,1
1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,0,1499.1905547059466,1500.8094452940534,-1.6188905881067512,1.3183624936111427,1.1718015052112203,0.14656098839992238,1.5723235592680311,1.783796531756031,1.783796531756031,1.5723235592680311,-0.2114729724879998,-0.2114729724879998,1.0,1.0,0.0,1,0,1,1
1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Glasgow,Scotland,0,1511.9483278057319,1500.0,11.948327805731878,1.8005951312330486,1.5,0.3005951312330486,1.9176144432033853,1.3523761737265372,1.3,1.3,0.6176144432033852,-0.052376173726537134,1.0,1.0,0.0,1,0,1,1
1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,0,1488.0516721942681,1525.018420556876,-36.96674836260786,0.8357713390901164,2.111719081581141,-1.2759477424910246,1.3523761737265372,1.9176144432033853,2.35682166147883,1.0671391889684667,-1.0044454877522928,-0.8504752542349185,1.0,1.0,0.0,1,0,1,1
1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,0,1486.929907248856,1535.406528006805,-48.47662075794915,0.0,2.325440032294837,-2.325440032294837,0.0,4.0,2.4784043483133344,1.0544475877471875,-2.4784043483133344,-2.9455524122528125,1.0,1.0,0.0,1,0,1,1
1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,0,1545.4154891866913,1477.663564744339,67.75192444235222,2.4786494595265265,0.6189734192411217,1.8596760402854047,2.3957303196433175,0.8722263550017326,1.2780546060687892,2.1459062443785077,1.1176757135745283,1.2736798893767751,1.0,1.0,0.0,1,0,1,1
1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Glasgow,Scotland,0,1556.8964026846559,1476.9209460689697,79.9754566156862,2.5918694115793772,0.0,2.5918694115793772,3.1340717240446536,1.0530763126936828,0.0,2.95004162504212,3.1340717240446536,1.8969653123484371,1.0,1.0,0.0,1,0,1,1
1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,0,1466.1826512463745,1464.4360264987329,1.7466247476415901,0.47004802313760974,0.0,0.47004802313760974,1.4145269582686015,3.0634958546132216,0.0,5.171377018487933,1.4145269582686015,2.107881163874711,1.0,1.0,0.0,1,0,1,1
1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,0,1476.2311824901712,1569.3813222548927,-93.15013976472142,1.0446633455045975,2.6774303497957237,-1.6327670042911262,1.5157037456625193,2.706898938121523,4.017157826148764,0.8945409518017398,-2.501454080486244,-1.8123579863197832,1.0,1.0,0.0,1,0,1,1
1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,0,1454.387495254936,1556.6373855434856,-102.24989028854952,0.0,2.163722731370856,-2.163722731370856,0.28865140515740234,4.2559545858174985,4.014710348611353,1.4801640204881625,-3.7260589434539506,-2.775790565329336,1.0,1.0,0.0,1,0,1,1
1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,0,1565.70308837722,1488.9751192015783,76.72796917564165,2.4004295877669874,1.4692972627689764,0.931132324998011,3.8765282408418678,1.278596958049591,2.07444603670455,2.9142608261824,1.8020822041373177,1.6356638681328088,1.0,1.0,0.0,1,0,1,1
1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,0,1445.3217924212017,1481.070590943936,-35.748798522734205,0.0,1.1612721945972662,-1.1612721945972662,0.21883957945767904,3.952195514961608,2.364328535065095,3.22825840514401,-2.1454889556074157,-0.723937109817598,1.0,1.0,0.0,1,0,1,1
1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Glasgow,Scotland,0,1573.6076166348623,1436.2579894197213,137.34962721514103,2.5091132648691894,0.0,2.5091132648691894,4.023493389753412,1.63459291437721,0.5945137724789482,3.7513628007624247,3.4289796172744635,2.1167698863852147,1.0,1.0,0.0,1,0,1,1
1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,0,1490.1343939454164,1427.8111048723047,62.32328907311171,1.5513206696396775,0.0,1.5513206696396775,2.4550038699304975,3.0530535260024196,0.671164527119955,3.9873979040494394,1.7838393428105426,0.9343443780470198,1.0,1.0,0.0,1,0,1,1
